AGE_DIFFERENCE	Q23	PP2_RESPONDENT_YRSED	PARTNER_YRSED	RESPONDENT_RELIGION_AT_16	PARTNER_RELIGION_AT_16	PP2_PPINCIMP	success
2	3	16	16	3	3	15	1
1	3	13	13	1	1	14	1
1	2	16	12	3	11	15	1
0	1	12	12	1	1	5	1
2	3	16	16	2	3	14	1
2	3	13	12	3	2	13	1
11	2	17	17	3	1	16	1
4	2	13	12	2	2	5	1
3	3	12	13	11	3	9	-1
1	1	13	14	13	2	8	1
2	3	17	17	3	3	17	1
15	1	14	16	12	10	5	1
7	1	12	16	13	13	7	1
2	1	13	13	2	2	11	-1
4	1	12	13	2	3	11	1
6	2	16	16	1	3	15	-1
5	3	17	17	13	13	11	1
9	1	17	17	3	6	13	-1
3	1	11	12	2	2	13	1
1	3	16	20	3	2	16	1
3	2	12	14	2	2	12	1
1	1	11	12	3	1	8	1
9	2	17	17	3	2	15	1
4	1	12	14	11	3	17	1
2	1	17	14	13	11	15	1
6	1	16	16	2	3	17	1
4	1	12	12	13	3	12	1
3	3	13	14	3	3	14	1
2	2	16	13	11	3	8	1
1	1	16	13	5	3	13	-1
1	1	13	12	2	1	13	1
1	3	20	20	5	5	19	1
3	2	16	17	5	10	11	1
15	3	14	16	8	13	10	1
2	3	17	17	13	13	16	1
4	1	16	16	13	13	15	-1
2	1	17	17	2	2	12	1
3	3	17	20	1	11	15	-1
1	1	12	12	3	2	6	1
6	3	17	20	3	3	13	-1
3	3	16	16	11	1	19	1
2	3	13	12	1	1	11	1
6	1	16	17	1	2	17	1
8	2	9	12	9	11	11	1
1	3	12	12	3	3	9	1
6	2	20	17	1	1	15	1
5	3	16	20	2	2	7	1
2	1	7.5	12	3	2	8	1
1	1	16	16	2	2	13	1
9	2	16	13	2	2	12	1
1	1	7.5	7.5	4	4	13	1
5	1	12	14	3	3	13	1
6	3	14	13	3	2	12	1
1	3	17	16	3	3	10	1
16	3	20	13	3	3	16	1
25	1	13	12	3	11	11	1
27	1	16	12	5	3	11	1
5	1	17	17	5	5	15	1
0	1	16	17	1	3	11	1
2	1	17	16	3	3	14	-1
4	1	16	16	13	12	12	1
11	3	16	7.5	3	13	9	1
4	1	16	16	3	3	13	1
3	3	17	16	7	10	2	-1
0	3	16	16	2	3	19	1
4	1	16	12	5	5	12	1
12	1	17	16	2	13	11	1
13	1	16	12	3	13	11	1
1	2	16	12	3	3	12	1
1	3	12	16	2	13	12	-1
26	1	13	12	13	13	13	1
6	3	13	20	12	11	3	-1
7	1	20	13	2	2	13	1
3	3	12	12	1	1	6	-1
1	3	12	12	2	2	12	1
1	1	16	16	3	3	14	1
20	1	9	12	3	2	2	-1
4	3	7.5	13	2	3	7	1
0	1	12	20	12	13	17	1
3	3	16	17	13	2	13	1
12	1	13	13	2	13	16	1
4	1	13	13	1	3	12	1
8	2	16	16	2	5	10	1
2	3	12	14	2	2	11	-1
8	1	16	17	3	3	15	1
28	1	13	12	1	1	10	-1
4	1	13	14	3	1	19	1
18	3	14	12	2	13	8	1
1	2	17	17	11	11	18	1
1	1	13	12	3	3	15	1
1	1	13	13	2	2	14	1
10	1	12	12	9	13	12	-1
0	2	16	16	3	5	18	1
7	1	12	17	13	3	13	1
2	1	14	13	3	13	11	1
0	3	17	14	11	2	13	1
5	1	13	12	9	13	13	1
4	3	12	12	3	2	6	1
2	3	14	16	1	1	10	1
2	3	14	16	13	12	11	-1
3	3	13	13	2	1	6	1
1	2	12	12	10	3	12	1
2	3	16	13	2	11	13	-1
6	2	13	13	3	2	9	-1
4	1	17	12	2	1	15	1
1	3	16	16	11	11	15	1
0	3	20	20	2	2	18	1
6	2	16	16	2	2	12	1
7	2	13	12	2	2	14	-1
3	1	16	16	3	3	16	1
4	1	16	20	3	2	16	1
0	3	17	16	1	11	13	1
7	-1	7.5	12	2	9	4	1
10	3	14	13	2	3	10	1
1	1	13	16	11	1	19	1
6	1	13	14	2	1	14	1
6	1	12	14	2	2	14	1
4	1	20	13	13	13	17	1
0	1	16	13	2	2	16	1
1	2	13	16	3	3	12	1
5	1	13	13	2	2	11	-1
2	2	16	16	2	2	12	1
0	1	16	13	3	3	17	1
3	3	12	14	1	2	9	1
8	1	20	17	5	2	15	-1
1	1	12	16	13	13	15	1
1	3	12	7.5	11	2	11	1
2	1	13	13	3	1	19	1
1	1	13	13	1	1	16	1
20	2	16	12	3	3	5	-1
5	1	12	12	2	2	8	1
2	3	12	17	5	5	16	1
4	1	14	10	13	11	1	1
4	3	12	12	2	2	10	1
5	3	12	12	3	3	13	1
2	1	13	12	3	1	16	1
4	3	10	12	3	3	13	1
14	2	17	13	5	5	13	1
1	1	14	13	12	11	9	-1
3	1	16	12	3	2	16	1
4	1	12	16	1	1	12	1
17	1	12	12	1	3	14	1
3	1	16	16	4	4	13	1
2	1	17	20	2	2	16	1
1	2	13	13	9	11	11	-1
2	1	13	13	13	11	12	1
15	1	13	13	2	2	10	1
7	3	14	17	3	3	19	1
2	1	16	12	2	2	8	1
27	3	13	16	1	1	2	-1
0	3	17	17	1	12	12	1
2	2	13	16	3	3	17	1
5	3	12	14	3	3	11	1
12	1	9	9	13	13	5	1
9	1	7.5	17	13	1	5	-1
3	2	16	12	12	11	16	-1
3	1	13	13	3	13	14	-1
3	3	17	20	2	13	16	1
1	1	12	12	1	1	16	1
10	1	12	17	3	3	11	1
2	1	12	12	2	3	13	1
6	2	12	14	13	13	1	1
1	2	16	14	10	2	15	1
1	1	12	12	13	3	13	-1
2	3	10	16	8	2	12	1
3	1	12	16	3	13	16	1
4	3	11	12	3	1	6	1
20	1	16	14	5	3	16	1
2	1	16	17	5	2	6	1
8	2	12	14	2	2	13	1
13	3	14	16	3	5	12	1
3	1	20	20	2	2	19	1
