Q9	PPAGE	PPGENDER	pp4_ppwork	PP2_RESPONDENT_YRSED	PARTNER_YRSED	PARENTAL_APPROVAL	PPINCIMP	Q7B	PAPRELIGION	success
31	28	2	7	13	13	1	7	3	1	1
41	42	2	1	16	16	1	18	3	2	1
63	61	1	2	17	20	1	19	5	2	1
29	33	1	4	14	16	1	12	13	13	1
35	39	1	1	16	14	1	14	4	4	1
23	22	2	1	13	13	1	13	1	1	-1
26	27	2	1	16	13	1	13	2	3	-1
46	42	1	1	16	17	1	16	11	12	-1
45	45	2	7	7.5	14	0	14	13	11	1
71	55	1	5	17	17	1	14	10	3	1
48	42	1	1	12	14	0	13	3	1	1
43	50	2	5	13	17	0	16	13	12	-1
43	45	2	1	17	16	1	16	13	13	1
28	30	1	1	12	17	1	13	11	11	1
35	28	2	7	13	13	1	8	4	4	1
26	28	2	1	13	12	1	11	13	1	1
23	21	2	1	16	13	1	6	11	2	-1
40	43	1	1	11	11	1	14	3	3	1
57	55	2	1	7.5	12	1	12	11	3	1
58	53	2	6	10	13	1	7	2	11	1
21	21	2	1	13	13	1	12	2	2	-1
21	20	2	1	12	13	1	9	3	2	-1
57	58	1	6	13	16	1	12	1	11	1
20	19	2	1	13	12	1	17	13	11	1
43	47	1	1	12	12	1	15	1	13	1
25	29	1	1	13	14	1	15	4	4	1
31	29	2	7	12	11	1	9	2	2	1
35	42	2	6	14	11	1	11	3	13	1
61	49	1	1	17	16	0	11	7	7	1
32	32	2	6	13	12	1	10	12	12	1
34	28	2	1	13	12	1	16	3	13	1
60	59	2	7	12	13	1	16	3	3	1
33	28	2	7	14	13	0	9	1	1	-1
22	21	2	1	16	16	1	15	5	3	-1
52	48	1	6	13	14	1	2	13	11	-1
47	52	2	1	13	13	0	8	1	1	-1
34	32	2	1	20	13	1	9	2	2	1
37	30	2	4	12	13	0	2	3	3	-1
50	51	1	6	11	12	1	11	2	2	1
39	39	1	1	14	17	1	17	11	11	1
29	29	2	1	20	13	1	11	13	13	-1
51	55	1	1	17	17	1	16	3	2	1
35	45	1	1	16	12	0	11	1	1	-1
36	41	1	1	16	12	1	15	2	2	-1
45	45	1	2	16	16	1	11	13	2	-1
33	24	2	1	13	12	0	14	11	11	1
52	49	2	6	12	13	1	12	2	2	1
40	59	2	6	11	12	0	6	3	12	-1
28	30	1	1	16	16	1	12	11	2	1
53	52	2	1	14	10	0	12	3	3	1
24	23	2	1	16	16	1	16	3	5	-1
47	46	1	1	13	13	0	16	2	3	1
62	55	1	1	17	16	1	8	2	11	1
49	52	2	6	12	12	0	2	1	9	-1
50	56	2	1	17	16	1	13	11	12	1
43	44	1	1	16	12	0	13	8	8	1
38	44	1	1	12	11	1	12	1	1	1
50	53	1	6	9	14	1	10	3	3	1
31	27	2	1	17	17	1	15	3	3	1
29	37	1	1	20	16	0	9	8	13	1
33	38	1	7	12	17	1	12	3	3	1
29	59	1	1	16	17	1	17	3	2	-1
42	57	2	1	14	14	1	13	2	2	-1
40	57	1	6	12	12	0	9	13	11	-1
34	35	1	1	16	17	1	15	2	2	1
59	39	2	4	20	20	1	17	2	10	1
56	66	1	2	13	14	1	13	11	11	1
58	57	2	4	12	12	1	10	3	3	1
50	48	2	1	11	11	1	10	3	13	1
48	46	1	1	13	12	1	11	11	3	1
27	29	1	1	14	14	1	13	3	2	1
34	36	1	1	12	12	1	12	3	11	1
57	51	1	1	12	12	1	14	1	1	1
40	37	1	1	16	17	1	15	11	9	1
58	60	1	4	12	13	1	11	2	3	1
44	44	1	1	12	12	1	16	2	2	1
29	29	2	1	16	17	1	10	13	13	1
36	39	2	1	16	14	0	12	3	3	1
38	59	1	1	17	20	0	17	5	13	1
23	19	1	1	12	16	1	17	3	3	-1
29	28	2	1	16	16	1	16	13	13	1
49	49	1	6	14	12	0	6	11	11	-1
24	25	1	1	17	16	1	19	13	3	1
50	44	2	1	16	16	1	16	2	2	1
57	55	2	1	12	13	1	15	1	3	1
51	53	2	2	20	17	1	14	2	5	1
30	29	2	1	16	13	1	13	1	1	1
40	45	2	6	12	12	1	3	1	1	-1
